幼学琼林全鉴（珍藏版）, 著
徐桂芬（燃烧的火凤凰从下岗女工到煌上煌掌门人的传奇之路）,赵天云
中国商界木兰,何振红
情向西藏：刘曼卿的康藏轺征,丁小文
法国第一夫人布丽吉特 马克龙传：关于自由、爱情与真我,（法）玛埃尔·布兰
时光里的最美红颜,郭文姝
岁月收藏：一位乡村收藏家的人生印迹,沈月英，孙永兴
巾帼传奇自流芳：中国历代女杰撷英（全2册）,李楠，张蕊
海上昙花：郑苹如传,杨世运 著
芭比：一个娃娃风靡世界的秘密,（美国）罗宾·格博
中国古代旅行家传：玄奘,吴兴勇
中美大学通识教育模式研究,吴坚
另起一行我是第一,邹施凯
中小学教师专业发展动力论,崔友兴
地方政府履行发展职业教育职责研究,翁伟斌
当代高校青年文化建设研究,夏艳霞
美国高等院校学生学习成果评价研究,吴智泉
留美航标：15位美国华裔教授解读当代留学,刘航
守望与耕耘：内蒙古自治区高校学生工作案例集,曹树春，李敏慧
社区学院案例研究（上）,王伯军 著，孟群 钱大海 刘珊珊 编
教出幸福来：一个一线教师的教育旅程,陈延芳
教育的应然样态：我的教育理解,王国强
何以法大（精）,黄进
大学生活记,邓本川
高职院校师资队伍建设有序培养研究与实践,贾平
高校国际化探索与实践,于欣力
演化博弈视角下的高职校企合作生态系统构建,凌守兴，陈家闯 等
邱少云,军事科学院解放军党史军史研究中心编写组
董存瑞,军事科学院解放军党史军史研究中心编写组
邓世昌,张海鹏
陈觉和赵云霄,张树军
方志敏,张树军
杨靖宇,中国人民解放军军事科学院
林觉民,张树军
回望丛书套装（共4本）,梁启勋，吴其昌，谭训聪，秋宗章，齐如山
且修一世柔软心,青梧
西风多少恨 吹不散眉弯：纳兰容若词传（精装版）,白落梅
两江总督陶澍,刘斌
桓谭传,姚中华
王阳明传：知行合一的心学圣人,燕山刀客
张謇,王敦琴，陈蕊
纳兰词传：落红深处有冷暖,肖冉冉
杜甫诗传：世事沧桑也寻常,端木
太室西阙铭,上海图书馆
潇贺古道与我国陶瓷艺术海外传播研究,王雪艳
米芾书法研究（修订本）,沃兴华
田炜印稿,田炜
中国书法史,沃兴华
灰雕艺术的传承与发展（共2册）,暂缺作者
人物透雕艺术,张威铭
美术与雕塑基础,暂缺作者
雕塑诗学,秦刚
地心大探险认读100字,暂缺作者
任何天气都开心, 著
出发,中国市场出版社 编
不羁的风：张国荣亲笔图文随笔集, 著
非正式会谈：遇见温暖的你们,《非正式会谈》节目组，乔昀 编
我是你的男人：莱昂纳德·科恩传记（纪念版）,[美] 
剑桥鲍勃·迪伦手册,[美] 凯文·J. H. 德特马 著，王宇光 …
音乐狂人,陈少宝 著
鲍勃·迪伦：永不落幕的明星,[英] 
漫威之父斯坦·李,[美] 鲍勃·巴彻勒（Bob Batchelor） …
夏洛克的魂：本尼迪克特·康伯巴奇传,杰尔·古道尔 著，梁春磊 译
拾坚线, 著
成长的骄傲与烦恼,《环球人物》杂志社 著
一切都是因为你, 著
幸福婚姻学：30堂课教你如何修炼婚姻,宋家玉
一家四口,俞慕
婚姻的危机：个案解析30例,暂缺作者
遇见之前从未想过结婚遇见之后从未想过和别人结婚（天作之合杨绛与钱锺书）,夏墨
潮骚,（日）三岛由纪夫
红豆生南国,覃覃
月朗风清来看你,安书羽
剧演的终章,（日）平野启一郎
愈书于寒更雨歇,叶陶颖
休斯顿火箭队官方传记：建队50年珍藏版（礼盒装）,[美] 休斯顿火箭队 著，腾讯体育 译
罗纳尔迪尼奥：微笑的绿茵精灵, 著
韩魏：吉利的势头, 著
曼巴精神：科比自传, 著，
阳光总在风雨后：中国女排的故事, 著
赤子情 羽球魂：傅汉洵回忆录,刘晨 整理，傅汉洵 口述
德罗巴自传：承诺, 著
西蒙尼自传,[英] 
刺客之王：C罗全景传记, 著
穆里尼奥自传：我与足球的美丽邂逅,[葡] 何塞~穆里尼奥 著
曼城传奇：我们的时代已经到来！, 著
小学搜逸（外三种）,暂缺作者
积微居小学述林全编（全二册）, 著
清代古音学：王力全集·第六卷（国家出版基金项目）, 著
方言笺疏,（清）
庄子集释,（清）
苍山方言志, 等著
中华大典·语言文字典：音韵分典（全套）,《中华大典》工作委员会，《中华大典》编纂…
集传古文韵海校补：古文字书辑刊,（宋）
文范四种, 著，
宋板重刊许氏说文五音韵谱,（汉）许慎 撰，（宋）徐铉,李焘校订 改编…
美好的年华遇见你（射手座：青春+优雅+健康，阳光+励志+唯美）,《小公主》工作室 著
我与青春舞一曲（狮子座：青春+优雅+健康，阳光+励志+唯美）,《小公主》工作室 著
总有一朵花儿在微笑（双子座：青春+优雅+健康，阳光+励志+唯美）,《小公主》工作室 著
浪漫星光下的许愿树（金牛座）,《小公主》工作室 著
没有烦恼长不大（水瓶座）,《小公主》工作室 著
橘子味的夏天（巨蟹座）,《小公主》工作室 著
不戴王冠的公主（摩羯座）,《小公主》工作室 著
爱哭的女生也坚强（天蝎座）,《小公主》工作室 著
水晶女孩爱追梦（天秤座）,《小公主》工作室 著
那一场春天的童话（白羊座）,《小公主》工作室 著
春暖花开（校园版）,庄颖洁
奇怪的他（1）,戚悦
星辰夜旅人：石隐记（3）,梵花镜开
小小姐星月花冠4：月光迷航,彭柳蓉
临海公主 卿云志（壹）,端木小狸
绝顶枪王Ⅲ高歌跃进,果味喵
杜近芳口述实录, 口述
最具影响力青年建筑师, 著
蒋志鑫自述, 著
钱理群的另一面, 著
谢尔盖·拉赫玛尼诺夫,[英] 
一生只做一件事就好, 著
此身犹未出苏州：吴作人与苏州研究展, 著
王者江湖：世界现代马戏之父孙福有的传奇人生, 著
谁在观看米开朗琪罗,伯纳丁·巴恩斯 著，谭宇墨凡 译
我和于是之这一生, 著
高罗佩事辑（增订本）, 著
青年沈从文：青年人焦虑苦闷纠结的解药,，
李健吾画传, 著
马尔克斯传, 著
王蒙妙语录, 著
苏东坡传, 著
生活，在别处：海明威影像集,[美国] 玛瑞儿·海明威;鲍里斯·维…
北宋大神晏殊传, 著
卡夫卡与少女们,[法] 
友朋从文, 著
大器行天下：季羡林的前尘后影, 著
说徐志摩, 著
寻找卡夫卡：捷克共和国前总统亲自作序, 著
加莱亚诺传,[阿根廷] 
永恒轮回的现实：马尔克斯传,史蒂芬·哈特（Stephen M．Hart） 著，…
寻找时间的人：普鲁斯特传,[英] 亚当·瓦特（Adam Watt） 著，辛…
尚书古文疏证（全二册）,（清）阎若璩（撰）著 黄怀信，吕翊欣 校
三三医书：针灸、养生秘本三种,裘庆元
颈椎病86个为什么,王秀光，王慧敏
宁夏区域环境健康状况及心脑血管疾病发病规律,张明鑫，谢树春，米文宝，王学忠
乳房保健百问通,袁梦涓，刘超男，林勇凯，史俊恒
高校音乐教育与大学生心理健康问题研究,王丽
泡脚保健名方大全,王强虎
张登本解读五运六气,暂缺作者
精准取穴巧刮痧：祛邪排毒活血化瘀巧治病,暂缺作者
百病食疗 本草精华系列丛书,卞兆祥，赵中振
愚园路：百年纪念版,徐锦江
中西建筑文化保护与传承研究,范文玲，许韶华
匠心营造 黄花流芳：黄花岗七十二烈士墓园纪念建筑,广州市黄花岗公园
中国的建筑与景观（德文版 精）,（德）恩斯特·柏施曼
六世书香 百年家风,安徽东至周氏
城市景观规划设计方法,袁犁，姚萍
产品设计优秀学生作品集,蒋鹏，伍稷偲，周莉，范寅寅，江瑜
理想之家（精装）,（澳）汉娜.詹金斯
刘国钧：经纶裕国,刘未鸣，詹红旗
刘鸿生：逆势成王,刘未鸣，詹红旗
360周鸿祎：爱拼才会赢,刘志则
微信之父张小龙：我的产品思维与众不同,刘志则
曹元弼的生平与学术（经学研究第四辑）,干春松，陈壁生
民国实业家列传,史全生 主编
溢香厅：柯五一传,瞿炜
聂广荣,暂缺作者
中国房地产杰出人物志：10年100人,中经联盟
恩格尔巴特的梦：计算机是如何减轻我们阅读和写作负担的 ,（德）亨宁-罗宾
草木人生：汪曾祺传,陆建华
我用尽青春只为寻你：徐志摩传（精装版）,白落梅
两地书,鲁迅，许广平
新一代银行IT架构,马智涛，卢道和，李靖 等
基于名字空间的安全程序设计,郭玉东
信息安全主动防护技术,郝尧，赵越，吴开均，陈剑锋
江苏历代文化名人传：刘半农,刘红林
江苏历代文化名人传：刘禹锡,卞敏
晚清津门文化名人李庆辰研究,李蕴祺
千古绝响：一代名士嵇康,皮元珍，黄定三
三大师传：巴尔扎克、狄更斯、陀思妥耶夫斯基,（奥）斯蒂芬·茨威格
网络中的信任管理体系,张文政，耿秀华，周宇，汤殿华，张李军 等…
109个春天：顾严幼韵自传（精装）,顾严幼韵
吕碧城：我到人间只此回,汪晓寒
一问一世界,杨澜，朱冰
一个乡村教师平凡的一生：谨以此书纪念我的父亲,金翔
中国皇后传,高东海
因孤独而闪闪发光,岳越
踏遍青山人未老：父亲尹德华的人生足迹（精）,暂缺作者
身心同治：一位盲人医师的感悟心语（大字版）,暂缺作者
叶法善年谱,周伟华王一军
丁玲：一曲华美的奏鸣曲（珍藏版）,李婍
文殊菩萨在五台山,安秀堂
巾帼风范：中国医药行业女企业家侧记,刘亚蜀，代航
张爱玲传奇：一恋倾城，一世忧伤,含瑛
巾帼英雄天下为公：女中乡贤刘青霞,赵凤玲 著，卫绍生，廉朴 编
因为懂得，所以慈悲：张爱玲传奇,含瑛
杨贵妃传,李旭东
叶圣陶教育思想研究,任苏民
做有温度的幼儿教育,谢雄娟
老年大学教育资源共享与开发利用研究,岳瑛，孙登成
2017中国旅游职业教育年度报告,全国旅游职业教育教学指导委员会
行动中的语言：基于SETT框架的大学英语教师课堂互动话语研究,赵鹍
苏东坡词传：此心安处是吾乡（精装）,苏凌
李白诗传：醉到极致是孤独,孟语嫣
孙权：一个能度的牛人,信自力
曹操：一个能变的牛人,闫荣霞
中国红十字会首任会长：盛宣怀的故事,池子华
淮海浪士：吴承恩传,浦玉生
告诉你一个真实的杜月笙,秦宝琦
曾国藩传（精品典藏）,（美）黑尔
广东红棉杯 红棉奖缘刻大赛作品集,曲斌
南京名人雕塑之旅,邢定康
装饰雕塑（室内陈设）,袁进东，陈杰，陈诗雅
李锐墨迹选（修订版）,吴龙友
巴蜀木雕,暂缺作者
愿你永远是少年, 著
观心, 著
这就是许魏洲, 著
学做中国人：法兰西女孩的中国梦,[法] 白露娜（Laura Weissbecker） 著
80后90后创业课：写给80后90后的创业策划书,，
马小松的视界, 著
十九岁的时差, 著
再见不负遇见,马维斯
恋恋北京,石一枫
攈古录金文（共9册）,暂缺作者
金石录（宣纸线装）,（宋）
藏园群书校勘跋识录（上下册）, 撰，
宋人文集篇目分类索引精（全五册）,，
总目录提要索引, 等著
为政箴言, 编
章太炎藏书题跋批注校录,，
钱遵王读书敏求记校证（共8册）,（清）钱曾 撰，（清）管庭芬 辑，章钰补 …
通志精（全三册）,（宋）
郡斋读书志校证（全二册）,（宋）
书目答问补正,（清）
贞观政要译注, 译注
群书治要译注, 译注
帝鉴图说,（明）
群书治要译注（全注全译繁体竖排精装全十册·五十卷完整本）,（唐）
中国荒政书集成（全12册）, 主编
领导政务通（全四册）, 主编
文献通考精（全十四册）,（宋）马端临 著，上海师范大学古籍研究所…
捕蝗考,（清）
幕学举要,（清）
大清律例,，
从政录,None
官箴,None
内马尔：勇敢快乐着, 著
蓝白之帜：阿根廷传, 著
高卢战纪：法国传, 著
蓝图：勒布朗·詹姆斯的伟大征程,[美] 贾森·劳埃德 著，虎扑翻译组 译…
血色荣光：曼联终身名誉主席马丁·爱德华兹自传,马丁·爱德华兹，罗伯特·塞勒斯 …
铁血意志：德国传, 著
桑巴王朝：巴西传, 著
马拉多纳自传：我的世界杯,[阿根廷] 迭戈·马拉多纳 著，吴寒 译…
C罗,[意] 
温格：阿森纳时代,[英] 
梅西（精装修订版）,[西] 吉列姆·巴拉格 著，李晨曦 易晨…
瓜迪奥拉：胜利的另一种道路（精装修订版）,[西] 
言文对照小学集注,（宋）朱熹 著 沈元起 译 （清）高愈 注
小学句读（共4册）,（宋）
音学五书韵补正（全二册）,（清）
小尔雅义证,（清）
積微居小學金石論叢, 著
广韵三家校勘记补释, 补釋
说文解字（宣纸线装 全二册）,（东汉）
同音说文解字, 编著
尔雅注疏,（晋）郭璞 注，（宋）邢昺疏，王世伟 整理…
尓雅注疏（精）,（晋）
半圆,果味喵
倾世医妃2,六月
指尖花凉忆成殇3,梅吉
郡主驾到 叁,福小福
玉蕴丹青：王玉钰小传, 著
圆梦画坛, 著
我身在历史何处,[塞尔维亚] 埃米尔·库斯图里卡(EmirK…
留法三剑客：吴冠中、朱德群、赵无极, 著
父亲：罗中立传记, 著
世界名人名传：瓦格纳回忆录（套装上下册）,[德] 理查德·瓦格纳 著，高中甫，刁承…
百年贝聿铭：东方与西方，权力和荣耀,，
高二适评传：天地谁为写狂娟, 著
不愿做奴隶的人：聂耳传,[日] 
最后的鲁班, 著
和博尔赫斯在一起,[加] 阿尔维托·曼古埃尔（AlbertoMan…
朱生豪在上海, 著
世界名人名传：劳伦斯传,[英] 理查德·奥尔丁顿 著，毕冰宾，何…
世界名人名传：巴尔扎克传（套装上下册）,[法] 安德烈·莫洛亚 著，艾珉，俞芷蒨…
约翰·缪尔传,[美] 
冯内古特：最后的访谈,[美] 库尔特-冯内古特 著
马尔克斯：最后的访谈,加夫列尔·加西亚·马尔克斯 著
博尔赫斯：最后的访谈,[阿根廷] 豪尔赫-路易斯-博尔赫斯 著
大卫·福斯特·华莱士：最后的访谈,[美] 大卫?福斯特-华莱士 著
海明威：最后的访谈,[美] 欧内斯特-海明威 著
波拉尼奥：最后的访谈,[智利] 罗贝托-波拉尼奥 著
四十二年，我的恶邻李敖大师, 著，[中国台湾] 
上海鲁迅研究 鲁迅与朝花社,上海鲁迅纪念馆 编
郑氏女科六书校注,，
大学中庸讲义, 著
大学中庸译注（精）, 译注
大学中庸译注, 译注
专家细说内分泌疾病：糖尿病,暂缺作者
音乐治疗 奏响健康的旋律,范尧
口腔正畸就医指南,王林
健康科普小讲堂 漫画中国公民健康素养66条,王双苗
戒烟正当时 读戒烟故事 享健康人生,广东省健康教育中心，汤捷
告诉你疾病的真实样子,夏乐敏
关娴清小儿推拿,王雪峰，陈苏宁
乌鸦传奇：天生是个大玩家Gifts of the Crow,（美）约翰·马兹卢夫
学校常见传染病知识读本,江信忠，曹型厚 编
中医健康管理,胡广芹，张晓天
卡内基传,安德鲁·卡内基
史玉柱：不倒的巨人,温暖
造梦者：雷军商传,赵文锴
李嘉诚商业课：不忘初心，方得始终,刘志则，胡海艳
百炼成钢的商界领袖（大字版）,暂缺作者
大道之行,安秋生
风雨兼程冀衡路,柏川
浙商陈立钻,王颖
林文镜传略,江河
李嘉诚全书（精）,暂缺作者
物联网智慧城市建设干部培训现场教学,卫东
司空图传,李云峰
度尽劫波：周氏三兄弟,黄乔生
刘鹗年谱长编（精）,刘德隆，刘瑀
文化创意 互联网+ 与博物馆,江苏省博物馆学会
大数据关键技术与展望,孔令云
江阴才子叶鼎洛,李建华
是非红楼：俞平伯1954年以后的岁月,周文毅 著
硅谷设计之道：探寻硅谷科技公司的体验设计策略,王欣
世界名人传：鲁迅传,许寿赏
喇嘛山风云：木里末代土司项培初扎巴的传奇人生,周国顺
李鸿章传（精装）,（英）布兰德
王阳明：心理的智慧,王阳明
天津近代历史人物传略四,万新平
张謇：兼怀天下,刘未鸣，詹红旗
宋美龄画传（修订纪念版）,师永刚，林博文
蒋介石画传,师永刚，杨素
冼夫人文化研究论文集,陈元福，李润
有凤来仪：莆田木雕艺术精品展,暂缺作者
布鲁诺 瓦尔波特,应金飞 编
青田石雕艺人档案：李德师徒卷,暂缺作者
泥塑 雕塑语言,孙闯
书法技法新论,沃兴华
中英对照 中国：百帝王彩绘瓷雕像,丁福仁，刘德明
物之所在：邱加,邱加
玉器白描设计,暂缺作者
孔孟之乡雕刻技艺,暂缺作者
面塑制作教程,新东方烹饪教育，组
书法与生活,逢成华
TFBOYS：2023非虚构成长,TFBOYS组合 著
欧阳娜娜：18, 著
偶像练习生, 著
有点意思：我的电影日记, 著
李小龙：不朽的东方传奇（图文版）, 著
风度陈道明, 著
频频相见,，
全职高手19：永恒荣耀, 著
张一山 山外有山（珍藏版）, 著
天生有罪：特雷弗·诺亚的变色人生,特雷弗·诺亚（Trevor Noah） 著；董帅…
不婚女王：全二册,自由极光
全职妈妈向前冲,清扬婉兮
请对我撒谎（别对我撒谎姊妹篇）,连谏
请带我回家,布里特·科林斯
你的爱怎么了,晚睡
唐婉的心事,夏炎
一个人的巴黎,果麦文化 出品；（英）乔乔·莫伊斯
我们不说再见：沈涛暖心小说,沈涛
爱不是这样谈的,涂磊
泥土之界,（美）希拉莉·乔顿
我见青山,明开夜合
郡斋读书志,（宋）
中国农业典籍目录,、
书目答问,主编
全真图解山海经,《家庭书架》编委会 编译
山海经译注, 注
水经注城邑考, 著
备修天长县志稿（清嘉庆）,（清）
彩图全解山海经（彩图精装）,（汉）
明太祖宝训,None
宋朝事实,（宋）
唐会要,（宋）
大清律例,编；（清）
通典,（唐）
中国官场学,（清）
唐律疏议,（唐）
宋朝事实：二十卷,（宋）
唐会要：一百卷,（宋）
通典,（唐）
钦定大清律例,[等]纂
枢垣记略,（清）
中国官场学：《学治臆说》《佐治药言》《续佐治药言》《幕学举要》《学治说赘》,（清）汪龙庄，（清）万枫江原著；祁晓玲译…
唐会要,（宋）
太初日历表（精）, 著
读通鉴论,（清）
群书治要译注（全注全译简体版全十册五十卷完整本）,（唐）
群书治要三六〇·第二册（简体中文版）,《群书治要三六〇》编辑小组 选译
品读群书治要, 著
熹廟諒陰記事（外五种）,（清）
群书治要（全二册）,,
群书治要译注（全注全译繁体竖排版 全二十八卷）,,
我是伊布：我来讲述真相（精装珍藏版）,[瑞典] 兹拉坦·伊布拉西莫维奇，戴维…
库里传（珍藏纪念版）,[美] 马库斯·汤普森二世 著，杰克 赵…
天命为皇：勒布朗·詹姆斯封皇纪传, 著
天选之子：卡卡传（精装）, 著
逐鹿莫斯科：2018俄罗斯世界杯观战指南,申方剑 著，孙逊 张一凡 张梦 编
梅西：传奇之路（2018年新版）,[意] 
NBA历史500巨星：全新升级版,[美国] 艾伦·斯塔克 著；傅婧瑛;佘琳…
輶轩使者绝代语释别国方言,（汉）
尔雅,None
尔雅注疏：十卷,注；（宋）
尔雅注疏,（晋）郭璞注；（宋）邢〓疏；黄侃经文句读…
尔雅注疏,（晋）
释名,（汉）
艺气风发：来自刘海粟和刘抗的相册, 编
大师徐悲鸿,郑理 著
潮汕历代书画人物录,，
悲鸿生命, 著
建筑师吕彦直集传, 著
蒂尔曼·芮门施奈德：湮没在历史中的德国雕刻大师,，
从谭鑫培到余叔岩, 著
中庸（小插盒）, 著
论语译注, 译注
尚书译注, 译注
四书五经（崇贤馆藏书手工线装宣纸一函八册）, 等著，
平顺县政协志,政协平顺县委员会
四书章句集注, 著
《四书》微揽, 著
论语意解,（春秋）
名家批注论语（线装竖版全四册）, 著
四书章句集注：新编诸子集成,（宋）
尚书选译, 等译注
郑板桥四书手迹（四册）,（清）
四书五经译注（套装全九册）, 等撰
周易启蒙翼传·易数钩隐图,（元）
中庸章句集注,None
董竹君：一首激扬的命运交响曲,墨三
李嘉诚 人生要有格局，更要有布局,青葫芦
滚雪球：巴菲特投资传奇,严行方
大清钱王3：人情亦商机,萧盛
大清钱王4：资本大博弈,萧盛
米塞斯评传,（英）伊斯雷尔·M.柯兹纳 著
中国建筑终端产品之王林伟雄,黄康俊
中国版权产业的经济贡献,编委会
北京理工大学校友创业故事集,李振键
东方奶酪传奇：王致和,姜波
洛克菲勒写给儿子的38封信,（美）洛克菲勒
亚瑟法则,（美）亚瑟·甘斯勒，迈克尔·林登…
世界名人传：老舍自传,老舍
夏衍传（上下）,陈坚
呵呵—中国顽童苏东坡,史钧
先贤芳尘映千秋,徐行溥 方克华
CCCF优秀文章精选,中国计算机学会
直面与正视：鲁迅与我七十年,周海婴，高高国际 出品
秦怡传（精装）,唐明生
陆游：铁马冰河入梦来,靳国君
李白：诗中日月酒中仙,英木
白居易：诗若珠玉，情怀苍生,邢朔平
口琴等级测评教程(, 著
摄影高考考前冲刺预测试卷：摄影高考考前冲刺预测试卷, 著
艺考基本功：色彩静物, 著
艺考基本功：素描静物, 著
艺考基本功：色彩风景, 著
艺考基本功：素描石膏像和头像, 著
全国钢琴演奏考级作品集 第六级—第八级（新编第二版）, 著
一线教学系列丛书：元素,，
华夏万卷钢笔字帖 硬笔书法等级考试教程（云课堂）,田英章 著，华夏万卷 编
少儿声乐考级曲集（业余 下 第7级-第9级）,中央音乐学院考级委员会 编
音乐等级考试音乐基础知识（音乐常识分册 初级音乐版上册）,人民音乐出版社 编
山海经（全20册）,本社 编
水经注校证,（北魏）
郦道元与《水经注》新解, 著
古典名著聚珍文库水经注,（北魏）
括异志倦游杂录,（宋）
平山堂图志,（清）
菰中随笔（外四种）, 著
建康古今記（外八种）,（清）
湖南古旧地方文献书目提要（乙编）, 编
山海经译注, 编
靖州直隶州志.永顺县志（甲编）,（清）
徐霞客游记（线装珍藏本 宣纸线装全八册）,暂缺作者
西安淳临安志（精装影印）,（宋）
大唐西域记汇校,（唐）玄奘，（唐）辩机 撰，范祥雍 匯校
大唐西域记（繁体线装竖排）,（唐）
读懂中国,，
思想道德修养与法律基础辅助教材,，
2019年大学生士兵提干士兵提干教材,暂缺作者
形势政策教育读本（2019年修订版）, 编
《思想道德修养与法律基础》要点精讲, 著
强国历程知识竞赛300题,《强国历程知识竞赛300题》编写组 编
形势与政策（第2版）, 编
新时代党员发展对象培训实用教材, 著
思想道德修养与法律基础导读与实践（第3版 高职高专版）,，
海东杂记·台湾杂记·巡台退思录·台海思痛录,（清）黄逢昶 撰，巡台退思 录，（清）刘璈…
群书治要考译,，
智品, 编著
三国杂事,（宋）
读通鉴论：三十卷,（清）
史通,（唐）
宋论：十五卷,（清）
文史通义,（清）
读通鉴论,（清）
文史通义,（清）
史通二十卷,（唐）刘知几撰；（明）李维桢评；（明）郭…
文史通义,（清）
宋论,（清）
读通鉴论,（清）
史通,（唐）
执业医师2020 放射医学技术资格考试：丁震2020放射医学技术考前冲刺必做4套卷（士）, 著
2020执业医师考试 国家临床执业及助理医师资格考试题眼狂背, 著
主管护师2020 丁震2020护理学单科一次过专业知识考点背诵及强化1000题（师 第3科）, 著
普通外科学模拟试卷及解析（中级）,陈斌 著
丁震2020护理学单科一次过相关专业知识考点背诵及强化1000题（师 第2科）, 著
丁震2020护理学单科一次过专业实践能力考点背诵及强化1000题（师 第4科）, 著
丁震2020外科护理学单科一次过专业实践能力考点背诵及强化1（中级 第4科）, 著
丁震2020护理学单科一次过基础知识考点背诵及强化1000题（师 第1科）, 著
2020全国中医药专业技术资格考试大纲与细则（中级）,国家中医药管理局专业技术资格考试专家委员…
丁震2020临床医学检验技术模拟试卷及解析（师）, 著
丁震2020临床医学检验技术考前冲刺必做4套卷（中级）, 著
2020全国二级注册建筑师资格考试辅导教材 法律、法规、经济与施工, 著
2020全国二级注册建筑师资格考试辅导教材 建筑构造与详图(作图题, 著
2020全国二级注册建筑师资格考试辅导教材 场地与建筑设计（作图题）, 著
2020全国二级注册建筑师资格考试辅导教材 建筑结构与设备, 著
机电工程管理与实务复习题集,全国二级建造师执业资格考试辅导编写委员会…
市政公用工程管理与实务复习题集,全国二级建造师执业资格考试辅导编写委员会…
矿业工程管理与实务复习题集,全国二级建造师执业资格考试辅导编写委员会…
水利水电工程管理与实务复习题集,全国二级建造师执业资格考试辅导编写委员会…
建筑工程管理与实务复习题集,全国二级建造师执业资格考试辅导编写委员会…
2020年初级会计实务应试指导,中华会计网 校
2020年经济法基础应试指导,中华会计网 校
2020年初级会计职称教材 初级会计实务历年真题全解,中华会计网校 编
2020年初级会计职称教材 初级经济法基础历年真题全解,中华会计网校 编
经济法基础（2020新大纲）,会计岛教研组 著
圣才教育 证券分析师胜任能力考试辅导 发布证券研究报告业务历年真题及详解（第2版）,圣才学习网 著
经济法基础（2020）,叶子 等 著，BT学院组 编
美国注册管理会计师认证考试应试指南：财务规划、绩效与分析（CMA）,优财管理会计研究院 著
美国注册管理会计师认证考试应试指南：战略财务管理（CMA）,优财管理会计研究院 著
初级会计实务（2020新大纲）,会计岛教研组 著
艺术人生：达利,[意大利] 菲奥雷拉·尼科西亚 著，李金…
中庸章句,None
大学章句集注,None
大学章句,None
论语,暂缺作者
论语,（春秋）
大学中庸,None
论语,（春秋）
四书（蒙学精萃钢笔楷书字帖）,None
四书章句集注,（宋）
论语集注,（南宋）
四书章句集注,（宋）
四书章句集注（共二册）,（宋）
孟子注疏：一卷-十四卷,（汉）
论语注疏：二十卷,（魏）
音乐等级考试音乐基础知识（音乐常识分册 初级·音乐版 下册）,教育部考试中心，中央音乐学院 编
华夏万卷字帖 硬笔书法等级考试教程 楷书田英章书（云课堂）, 著，
华夏万卷字帖 硬笔书法等级考试教程 隶书 云课堂, 著，
巅峰联考（速写照片）, 著，
大观小调, 著，
师语主题教学大观系列丛书：演绎色彩静物2, 著，
钢琴（七级~十级）, 编
品格：素描头像6, 著
汇聚：速写照片2000例, 著
直击联考速写人物, 著
造物：素描头像2, 著
火力全开：素描头像,暂缺作者
魔方（头像照片2）,暂缺作者
摄影高考真题解析（2020版）, 著
摄影常识高频考点500条, 著
超越：应试素描, 著
英皇考级必备 快速学会初级乐理（英皇考级必备）,[澳] 萨曼莎.科茨 著，黄泽阳 译，谌蕾 校…
中公教育2020山东省公务员录用考试教材：行政职业能力测验,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：全真模拟试卷公共基础知识,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：综合写作,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：考前冲刺试卷,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：历年真题精解公共基础知识,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：公共基础知识,李永新
半月谈2019公务员考试真题2020省考用书 申论多省联考历年真题解析,半月谈图书编写组
半月谈2020国家公务员考试真题国考用书 申论历年真题解析,半月谈图书编写组
半月谈2020国家公务员考试冲刺卷国考 申论考前预测仿真卷,半月谈图书编写组
半月谈公务员考试用书行测题库 言语理解与表达高分必刷题,半月谈图书编写组
半月谈2019事业单位考试通用教材用书,半月谈图书编写组
网络工程师（第3版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
软件设计师（第3版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
程序员（第2版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
网络管理员（第3版 水平 含关键考点点评）,全国计算机专业技术资格考试真题研究组
系统架构设计师历年真题解析,薛大龙
ICDL项目策划,ICDL基金会
ICDL资讯安全,ICDL基金会
水经注选译,，
历代岭南笔记八种,（唐）
崖州志,（清）张嶲，（清）邢定纶，（清）赵以谦 …
至元嘉禾志,（元）
平江记事,（元）
吴中水利书,（宋）
溪蛮丛笑,（宋）
分好类 超好背,（加）Jordan Andre，（加）Larissa Cherr…
最受关注的财经英文资讯,None
新能源专业英语（张素贞）,、
takeway English 1（学生用书）,（美）
电工英语习题册（第二版）,None
英语世界美文篇, 编
新托福阅读备考攻略与满分速成,，
工厂日语一本通,None
学汉语小字典,海力古丽·尼牙孜，王雪梅，Tolkin Ka…
大学英语自主听力教程,，
CET-4读写强化教程,，
思想道德修养与法律基础学生学习手册（第七版）, 著
《思想道德修养与法律基础》学习指导与练习（2018年版）,，
思想道德修养与法律基础辅学教程,，
思想道德修养与法律基础教学指导书,蔡瑶，吴婕 著，孙建英，徐菂，贾淑品 编
创业与创新,None
入党教材（2017）, 著
入党积极分子培训教材（2017）, 著
防卫与控制, 编
人民警察职业道德,，
保安员,国家职业培训与技能鉴定规划教材编写组 编…
