幼学琼林全鉴（珍藏版）, 著
因为懂得，所以宽容：张爱玲传,含瑛
互联网安全实践,雷敏，杨榆，王刚
云数据中心内部网络安全防御关键技术,王欢（等）
计算机文化（原书第20版）,（美）琼·詹姆里奇·帕森斯
淡泊致远求真务实：郑维敏传,陈剑
刘大櫆传,朱洪
周文雍和陈铁军,张树军
华音流韶8：梵花坠影,步非烟
恋恋江湖（套装全二册）,籽月
提灯去见少年郎,矢厘
以身饲龙,葛巾
当代钧瓷鉴赏与收藏（精）,刘青年
晶韵华章：2017年第二届中国天然水晶作品晶华奖典藏集,暂缺作者
北京藏传佛教艺术：元、明、清（套装共3册）,谢继胜，魏文，贾维维
坐境：雅之座中国椅子艺术展,吴晞
多彩的中式柴木家具,杨文广
彩铅笔绘画教程——氤氲下午茶：小物件篇,张云凯
彩铅笔绘画教程——生灵的呼吸：动植物篇,张云凯
齐白石印存精粹,齐白石
莲与龙：中国纹饰（典藏版）,（英）杰西卡·罗森 著
莲与龙：中国纹饰,（英）杰西卡·罗森 著
张光宇装饰插图集,张光宇
砂壶尚黑：袁野黑紫砂器作品集,袁野
王羲之王献之书法研究,王玉池
世界通史（精）,暂缺作者
金塔寺石窟,郑炳林
文殊山石窟,郑炳林
中国审美理论,朱志荣
阅天下：新历史方位下的中国,人民日报海外版总编室
当代中国社会问题分析,王德新
英国版权法,张大伟
世界版权条约,张大伟
云南少数民族古籍珍本集成（第36卷白族 精）,暂缺作者
逻辑说服力,昭军
赢家法则：从财务危机到财务自由的30个人生进阶之道（精装）,（德）博多·舍费尔
一开口就让人喜欢你,弘丰
大学生信息素养教程,暂缺作者
从服务员开始，开挂人生,萩原清澄
最受欢迎的沟通方式和技巧,乔会根
别让情绪害了你,宋丹丹
别让不好意思害了你,肖文飒
在更高的地方看世界,理查德·瑞德
会说话的小房子（精）,何文楠
高效人士的问题解决术,（日）森秀明
你不努力.凭什么谈未来,赵润
请终止无效努力,篱落
专注力：实现自控与自律的惊人力量,刘镇强
中国审计发展报告：2018经验探索制度建构公告概览和前景展望,暂缺作者
我国农村劳动力就地就近转移就业问题研究,刘锐
中国经济增长质量发展报告2019：新时代下中国经济的高质量发展,任保平 等
中国房地产市场发展,赵雪凌
资源型地区创新驱动发展研究,刘那日苏
一带一路与中国区域经济发展研究,孙久文，高志刚，张世贤
经济虚拟化下的流动性陷阱与宏观经济政策,董永祥
深宫缭乱, 著
定海浮生录1, 著
余生给你，糖也给你附：书签、明信片（上下）, 著
阿多拉基3：消失的羽翼, 著，
阿多拉基1：废墟中的幸存者, 著，
阿多拉基4：拥抱潮汐的海湾, 著，
阿多拉基2：在黑暗处闪光, 著，
笑话新谈（大字本竖排线装全四册）, 编
23385837  新笑林一千种（大字本竖排线装全四册）,暂缺作者
古籀汇编,暂缺作者
百川学海·续百川学海·广百川学海（全五册）,（明）吴永 辑，广百川学海，（明）冯可宾…
古籍文献丛考, 著
续经籍纂诂, 总纂，
函海（套装全10册）,（清）
四库全书1（全二册 皮面）,（清）
私家藏书（全四册 插盒）, 编
刺绣与当代生活：2018潮州国际刺绣艺术双年展作品集,李当岐 编
老年社会工作服务嵌入健康老龄化：浙江省特殊困难老人社会工作服务示范项目报告及优秀案例,暂缺作者
当代中国行政改革,麻宝斌，郝瑞琪
从零开始学温敷,蔡仁妤，艾利
养腰活腿，身体就轻松,吴建勋
和果子100 日式传统点心轻松做,日本和果子大好协会
造园记：从零开始造一座梦想花园 菜园（视频版）,《造园记》栏目组
焰火花园：温暖大叔的花草手作与植物养护技巧（视频版）,《焰火花园》栏目组
义务教育学校体育微改革,向苏龙
体育产业经营与管理,王会娟，黄瑞敏
新教育公平视野下的教师教育改革,杨跃 著，程天君 编
遇见你遇见温暖：有温度的教育故事,项声菊
吃练睡减脂全书,维庚博士
科学营养配餐：中国居民科学膳食指南,刘方成，刘方华
精品葡萄详解,（日）《葡萄酒艺术》编辑部
人美书谱 行书,暂缺作者
人美书谱 元赵孟頫朱子感兴诗嵇叔夜与山巨源绝交书,暂缺作者
人美书谱 宝晋斋法帖本,暂缺作者
人美书谱 行书,暂缺作者
人美书谱 北宋米芾蜀素帖苕溪诗帖,暂缺作者
人美书谱 唐欧阳询行书墨迹（含刻贴）,暂缺作者
人美书谱 行书,暂缺作者
颜真卿楷书间架结构九十二法,闵远亮
楷书技法笔画偏旁（硬笔）,李信
韩煜草书千字文,韩煜 书
茅盾文学奖获奖作品全集：这边风景（全二卷）,王蒙
茅盾文学奖获奖作品全集：东方（全三册）,魏巍
袁世凯（全三册）,张鸿福
南宋王朝（全三册）,蒋杏
神探华良1：嗜瞳,陈东枪枪
试错,枪泥
空谷,韦晓明
入戏,徐小斌
美术心理学, 著
外国美术简史, 著
诸闻韵年谱,，
艺术文献集成：式古堂书画汇考（全4册）,[清] 
苦难的机遇：吴冠中艺术思想发展历程研究, 著，
美的追寻：吴冠中的审美理想与人文关切, 著，
鲁艺美术之路（1938—1958）, 著
艺术文献集成：竹人录 竹人续录,[清] 金元钰撰 著
艺术文献集成：书画书录解题（全三册）,余绍宋 撰
艺术文献集成：画法要录（全二册）,余绍宋 撰
画美壮乡,漓江画派艺术研究中心
2019上海大学上海美术学院毕业作品集：硕士毕业作品集,上海美术学院
